switch_every,estimator,mean,std,count
3600,dq,-0.21041937088000012,6.214155046693174,100
3600,naive,0.384092261989,0.42092997375715124,100
600,dq,0.33351749946400006,3.7399626084705253,100
600,naive,0.292282544723,0.2054128924028581,100
900,dq,0.6229881719599999,3.9147480162713837,100
900,naive,0.332199900923,0.225159778910242,100
300,dq,0.79226924934,3.037140131686607,100
300,naive,0.25971405429836003,0.13909595676897185,100
1800,dq,-0.07236069806299993,4.672479687952359,100
1800,naive,0.377868668535,0.29454940588974104,100
1200,dq,0.33521442372000004,4.091185595146379,100
1200,naive,0.33994699040500004,0.2592291004014919,100
120,dq,0.7591946958000002,3.971572587056737,100
120,naive,0.23934089599,0.11666561508026145,100
ate,true_ate,1.1193737601199998,0.03816917785727515,10000
