dq,naive
0.99969876,0.41753557
0.8530639,0.40527505
0.7482816,0.375009
0.7591889,0.38116267
0.69551784,0.3639999
1.4472923,0.36964238
0.6691501,0.33575958
1.1173096,0.36972845
1.3756894,0.34662455
0.8486148,0.3717926
1.179608,0.3169426
0.22220631,0.4292985
0.65767425,0.41129476
-0.09441856,0.4244069
0.54058594,0.4010645
1.2299765,0.35302913
1.1887692,0.341296
0.90412956,0.37438327
0.48475793,0.35674074
0.5285375,0.35980502
1.0481178,0.37810224
1.174535,0.3801843
1.5686623,0.37797868
1.1969395,0.38538814
0.40538844,0.37788936
0.5269729,0.37732846
0.600325,0.3786195
1.865019,0.3700052
1.7245198,0.32371625
0.955745,0.35600236
0.31350428,0.3548926
0.5008472,0.32177728
0.87938875,0.34495768
0.5072232,0.3124166
1.1774992,0.3918591
1.4102857,0.35465455
0.46839383,0.40404463
0.47686273,0.42449483
1.564068,0.34133536
0.20044228,0.37702915
0.6493276,0.40300375
1.1005018,0.40084887
1.3462566,0.2843851
1.050362,0.36665562
0.38764444,0.37143722
1.081565,0.42550018
1.6577603,0.36453116
0.8885085,0.33046836
1.9210929,0.28892848
0.13711512,0.3905698
0.7023201,0.41374406
0.7704814,0.4171256
1.4913497,0.34988964
1.182739,0.34537178
0.5065333,0.390105
1.1310047,0.38544372
1.2660427,0.3622406
1.0688388,0.32172388
0.7096143,0.3818399
0.09407184,0.4378472
0.77956676,0.43324125
0.6374633,0.3573543
2.0055494,0.34019038
0.7282815,0.3544093
0.78140295,0.32932374
1.6054066,0.2920577
0.79356843,0.3770936
0.750358,0.39707443
1.2020497,0.32463962
1.0659999,0.3842465
1.0931557,0.35554168
1.6531374,0.34231275
0.99595284,0.3783316
1.0479367,0.310306
1.4693902,0.33097443
0.704917,0.40909666
1.0659932,0.35795313
0.35279748,0.4160804
1.4573056,0.33198267
1.7117772,0.32430547
0.41847184,0.34693122
1.5899025,0.3321704
1.0947521,0.32654756
0.3866725,0.41063386
0.7817728,0.38716885
1.0370408,0.31436926
1.2960649,0.28402448
0.92855537,0.3724038
1.2404162,0.4048149
1.2818706,0.34395936
1.8545179,0.23380691
