dq,naive
1.51708,0.36858234
1.2171557,0.39022008
0.9446655,0.48018774
1.797191,0.4457412
0.7327418,0.26901942
1.2638593,0.3955675
1.0778363,0.4065291
1.2959925,0.5227508
0.22129868,0.44024324
1.2142601,0.38605338
1.5434781,0.26505074
1.1531477,0.39087734
1.1815028,0.4330057
0.71586573,0.31513748
0.59641874,0.49872226
0.41818404,0.39334413
1.5366106,0.30270275
0.5738583,0.45869255
1.461342,0.33866417
0.8528632,0.284291
0.974996,0.34163144
1.4137288,0.33282235
1.2519895,0.489532
1.3216661,0.43255952
1.6205326,0.31165355
0.9384249,0.36620957
1.019457,0.44845188
0.6532311,0.49988103
0.5645388,0.29267684
1.368811,0.34198558
1.047389,0.4768034
1.2633106,0.34907776
0.6150764,0.38499832
1.0704902,0.36146238
1.8116561,0.31534755
1.6751243,0.42873582
1.9516624,0.26515293
1.2678168,0.412669
1.1254339,0.4266661
1.3684177,0.32255065
1.5280358,0.30142313
1.6604067,0.3259545
1.621176,0.34941033
0.50133246,0.4427617
1.3872429,0.350126
0.31872076,0.38038698
1.9020385,0.42398348
0.9915645,0.46873927
0.730865,0.49919102
0.5395334,0.47183654
1.1838691,0.28736734
1.1836891,0.34008798
0.17811802,0.46421745
1.2405832,0.39450487
0.56653184,0.3208248
2.0620215,0.26243377
0.66186124,0.43969768
1.6133106,0.33091056
-0.49603274,0.4888321
0.37501952,0.39651853
1.0811595,0.39126626
0.32198793,0.51435167
0.74124724,0.37038007
0.16015653,0.42659277
2.5946085,0.33513495
1.9341402,0.27299705
1.2297487,0.44272444
1.0206285,0.36076874
2.603476,0.33710927
1.115541,0.31129047
0.17138028,0.4283577
0.9918953,0.3338047
0.2112659,0.39109546
0.49523887,0.36724707
0.23221304,0.45086592
0.597646,0.40134415
-0.16528767,0.6034568
0.6559744,0.46310115
1.1851664,0.42463854
0.5451315,0.4431593
0.595538,0.35802674
1.474755,0.4480229
0.17907794,0.4265803
1.1831605,0.55148685
0.32241607,0.3656423
0.4566444,0.48079115
0.565054,0.32865095
0.9814541,0.44417465
0.9058101,0.38840067
0.8919485,0.34318137
0.29579654,0.38288411
0.83984774,0.41824618
1.4949253,0.40044764
1.1277425,0.41156045
1.3188573,0.3905667
1.0149245,0.3987178
0.41772768,0.28275096
0.8191399,0.40192994
1.2642719,0.4258895
-0.3974839,0.5058992
0.8088325,0.26690176
1.931284,0.3371592
1.0134482,0.4854434
1.9957918,0.32219812
0.86809415,0.3941996
0.21509834,0.28914678
1.7408725,0.38715303
1.7322356,0.4794883
1.7632216,0.37794217
1.6836436,0.38199204
1.3265074,0.38829666
1.5315671,0.33798033
0.60289234,0.3391647
0.7660485,0.44876185
0.27129626,0.50080824
1.6327122,0.3814513
-0.008429656,0.4354077
0.8742047,0.39406624
0.01613136,0.36784026
0.62489384,0.39429644
1.2866085,0.32856897
1.209155,0.38542774
1.0120183,0.329967
0.8497332,0.26996854
0.54995924,0.31094098
0.56993353,0.40187404
0.98949224,0.27607468
1.5425057,0.26826832
1.3354102,0.38260308
0.9733649,0.33156538
0.8646459,0.31709185
1.6604605,0.3266384
0.9049676,0.40945387
1.0010022,0.2560606
0.8416141,0.4058488
0.6640032,0.3902603
-0.08585634,0.43196273
-0.25798696,0.6159952
1.0543537,0.3174022
1.0614331,0.38364512
1.5740387,0.3146282
0.34828487,0.5967785
1.1715908,0.31602955
-0.1486835,0.39105427
1.516382,0.45999357
1.1537349,0.3695035
1.2095785,0.46070826
0.69022137,0.42713588
1.7975397,0.37076932
0.2641934,0.41591167
0.9027021,0.3156865
1.8364936,0.27801672
