dq,naive
1.2691486,0.42052668
1.2357488,0.40476745
0.37298054,0.3736736
1.076237,0.45407405
1.136808,0.42922586
0.8772412,0.42989275
0.9291334,0.3645257
0.13555972,0.43828332
0.5800624,0.36859694
0.9730374,0.3708383
1.249674,0.29445493
0.8462289,0.44308203
1.5556267,0.26255095
0.5253146,0.40415105
0.13683257,0.38780788
0.56313354,0.43508616
0.55864453,0.36062217
0.8632409,0.41202945
0.7843904,0.29928985
1.9062636,0.33963993
0.8576551,0.35226205
0.71001387,0.39271593
1.2143635,0.32875752
0.8581131,0.48543507
0.22898212,0.46626323
1.2060695,0.29694295
0.39178753,0.42460936
0.16046582,0.36635262
0.99716717,0.43677
0.7013945,0.36301032
1.3938284,0.3843442
1.2916414,0.3186506
1.056409,0.42105585
0.3875793,0.41937432
1.3859866,0.34342438
0.89420235,0.41162184
1.8519754,0.32766736
0.8532216,0.37393063
0.3996857,0.40798527
0.98125476,0.4044655
0.91425866,0.39384207
0.5054497,0.41079813
1.3405799,0.40180424
0.60651135,0.3630258
0.777297,0.3987586
1.0240135,0.32871568
0.44013226,0.43683344
1.1599835,0.38888714
1.4672762,0.27667794
1.0971353,0.35513207
0.76041466,0.35646206
-0.4965795,0.50052714
1.0320946,0.43557367
-0.32835555,0.40159374
1.2852023,0.44430304
1.0583117,0.4007891
1.3249313,0.34843314
0.7511515,0.45088226
1.201101,0.33673888
1.1911316,0.32720688
0.6783706,0.39486036
1.6452966,0.24000113
1.5427395,0.2608094
0.26948088,0.35464218
1.192014,0.32768837
1.7201047,0.2562513
1.5936316,0.36153942
0.84771585,0.30973873
1.7478609,0.341529
0.9087092,0.45327693
0.91627693,0.34949318
0.55824876,0.47381562
1.2681702,0.3327843
1.0044731,0.35973468
0.5637301,0.42524925
-0.03861683,0.4368674
1.7034762,0.36796656
1.3162751,0.37168592
-0.15603752,0.35189945
-0.37326938,0.49356204
1.3289822,0.29815993
0.36278936,0.4055782
0.8550489,0.40752682
0.9538714,0.4321905
1.2821435,0.35290003
1.3015691,0.3057109
1.0622951,0.3402315
1.5600648,0.3959713
0.4449252,0.43126306
0.026241703,0.4202271
0.9870548,0.46967936
1.5443612,0.3288139
0.7803415,0.37981924
1.1404537,0.3500803
0.14925188,0.3326674
