dq,naive
1.8862582,0.3934872
1.1255615,0.36309993
0.53081024,0.4459006
0.5803139,0.40306175
0.5654195,0.40696082
0.71809906,0.38661507
0.86912215,0.38220957
1.0410309,0.3775888
0.84389025,0.35716987
0.7330934,0.3443585
1.7401217,0.32094193
1.254374,0.35317156
0.344765,0.4208667
1.2776532,0.3685107
1.2049017,0.33464265
1.072335,0.3875943
0.5444918,0.48231176
0.9182076,0.37857318
0.5584076,0.3804867
0.6599186,0.36406255
1.0849595,0.35266322
1.6188902,0.31372115
1.6373167,0.36692888
1.4440149,0.3184601
1.2257588,0.3521916
1.0686182,0.3728315
1.1528858,0.4158734
0.74271464,0.40737587
1.3998268,0.41427872
0.633921,0.4232929
1.3393115,0.35606736
0.70539474,0.43846112
1.0411916,0.36241215
0.996201,0.3991765
0.85898817,0.39626226
-0.5557685,0.4054368
0.9670448,0.38544205
1.4267982,0.40243942
0.5909631,0.37149426
0.699987,0.36136007
0.5962531,0.43320844
1.6630768,0.2679733
0.7960336,0.30635068
0.9258661,0.3570022
1.0009505,0.2938063
1.1461937,0.3204165
1.4951167,0.33881912
0.90596884,0.4197639
0.90897924,0.3901241
-0.13253076,0.43111512
0.35412043,0.38533413
1.617282,0.39322576
0.92997134,0.31710896
0.9160803,0.36820525
0.5324252,0.4136523
0.8746269,0.46335614
1.5063585,0.30674875
0.48918673,0.2835094
0.8470284,0.38391384
0.08209159,0.38613763
0.6346697,0.4517681
0.64361036,0.34447557
1.126298,0.34893984
0.5561582,0.37272286
1.8220829,0.30682424
0.86705464,0.40656742
1.2947105,0.37858018
0.20414077,0.37395805
0.86395127,0.35549682
0.8717212,0.37352186
1.1172662,0.3784008
0.8912325,0.36677563
0.5591027,0.39993092
0.49600998,0.44825825
0.40505564,0.38859048
1.1689364,0.35651693
0.64344513,0.36985692
0.3478429,0.38348982
1.2847574,0.42096025
0.9457471,0.41982532
1.0291071,0.4532689
0.54102755,0.35072863
0.4749188,0.46420568
0.93555796,0.33923125
0.9106254,0.38982582
0.36485147,0.39167172
1.3867338,0.32994196
0.83268464,0.35563114
1.169366,0.38824606
0.7958712,0.39421588
0.42092076,0.38517225
1.406313,0.38360724
1.34969,0.37090075
1.1492335,0.36544532
1.2802016,0.32684326
1.4396442,0.30631343
1.2354858,0.372704
0.49974456,0.3830715
0.3994237,0.35463443
1.4821352,0.3500248
1.3553295,0.43465644
1.0255151,0.3469658
0.9398515,0.29913202
0.57953537,0.43665993
1.3865755,0.3570458
1.6039855,0.28134248
1.554428,0.33570662
0.5036632,0.35352856
1.1948092,0.32562712
1.1305248,0.39684612
0.4143909,0.4021784
0.30354333,0.44843987
1.035839,0.39232677
0.7818616,0.33062416
0.54773873,0.3776361
0.88513106,0.34303644
1.2301145,0.37142015
0.66125137,0.46056312
0.87141585,0.4089908
0.75382555,0.36321345
1.537052,0.29861045
1.1692312,0.3273734
0.39898843,0.4356562
1.6252911,0.43511632
1.4270467,0.35530138
1.1925725,0.36628884
0.58056223,0.38462308
1.2123835,0.397086
1.3770517,0.29210156
1.6302327,0.3939249
0.68597454,0.3614756
1.2481484,0.35657004
0.7293824,0.33121324
0.9711213,0.34421274
0.7652695,0.39038676
0.92133206,0.40361676
0.39909473,0.46096793
0.5752388,0.3681831
0.81449336,0.34200317
0.020719562,0.44167045
0.95379895,0.3264865
1.4712739,0.3537923
0.64529943,0.40968323
1.2352582,0.25148144
0.49619037,0.40588596
1.1434212,0.33691874
1.1531075,0.32278734
0.46462077,0.36565018
0.6889156,0.40072557
0.9432905,0.4328795
0.31180215,0.38553455
0.71471065,0.31404456
1.5317986,0.3680598
0.8668782,0.3974153
0.854393,0.35282782
0.93103564,0.31936184
0.7659881,0.40294892
2.1386263,0.35088313
0.62208587,0.40003324
1.0620182,0.33593413
0.62262744,0.37344465
0.66838753,0.32815674
1.8301613,0.3573582
1.6162537,0.37444612
1.29397,0.35837322
0.39712614,0.42423138
0.5536314,0.38829985
0.7597452,0.4148409
0.95071286,0.3694263
1.2351266,0.4177126
0.49742076,0.339505
1.450323,0.43180656
1.2243955,0.42122856
1.2234832,0.40278482
1.1347725,0.3641523
0.24825709,0.3513619
1.2620928,0.452812
1.5314729,0.38825038
0.83361614,0.37702683
1.0834076,0.37545964
0.8466897,0.34347764
1.0904875,0.40537402
1.2526655,0.26823345
1.6981072,0.3839466
0.77274764,0.38969237
1.192273,0.35976225
1.4716767,0.4092717
-0.13290255,0.4614286
1.7880962,0.31735402
0.48464996,0.3626375
0.23225836,0.38151017
0.98181266,0.43692744
0.832629,0.36715153
0.9227897,0.40510046
0.6326212,0.3718711
0.4742813,0.37010983
1.6585535,0.3450056
0.83089024,0.30381382
1.0259761,0.41049168
0.67439425,0.3960768
1.3031595,0.3411441
0.38302007,0.3210025
1.2158897,0.38032332
1.4776846,0.3349541
0.77143514,0.3426434
0.8451092,0.3116119
0.57120925,0.49721855
1.1024444,0.39113542
0.6816047,0.40899274
0.63993037,0.34781638
1.0673945,0.34637576
1.1718332,0.40665525
-0.097325034,0.4014016
0.67383176,0.27521506
1.1294515,0.37664858
1.1224836,0.39991045
0.74399024,0.37149277
1.0560683,0.3113885
0.20269519,0.502204
1.1215205,0.41545337
0.11440615,0.35250735
0.9064702,0.3895778
1.6604925,0.3198314
1.199584,0.36941895
0.81397015,0.40897357
0.44650456,0.4174805
0.8006196,0.36419186
0.28167212,0.39373383
0.8374628,0.4252661
0.8677061,0.31909558
0.23908831,0.45148957
0.826713,0.3657843
0.4073383,0.43246433
0.48689735,0.41930676
0.17597784,0.36219996
0.89556575,0.43578124
1.350284,0.36117846
1.1028768,0.37525806
0.7205692,0.40305376
1.2557003,0.393891
0.9566995,0.47387263
1.572786,0.2895706
0.6582524,0.42075926
0.75451833,0.41167155
0.9237276,0.3555053
0.6776856,0.38366696
0.121241905,0.4162005
0.6398871,0.42574087
0.97307926,0.3380586
0.9664469,0.38681468
1.2104255,0.33566147
0.32914314,0.42034274
0.17695303,0.36320662
0.33470163,0.37035313
0.41664606,0.35892618
1.1781894,0.44821844
0.90652156,0.3375746
1.342687,0.3618873
1.6270827,0.30246612
1.5655267,0.39206943
1.2630417,0.30367017
0.91446,0.45414668
0.700482,0.44344875
1.2476025,0.34709665
0.77249527,0.30880374
0.20292237,0.33088887
1.8446838,0.2869465
1.2396091,0.35041758
0.29749265,0.36740744
-0.09180587,0.43600908
0.76613,0.4118573
0.69318014,0.3772012
0.6615525,0.42840996
1.1330874,0.36641744
0.59665716,0.35011
0.6828415,0.4258766
0.5339146,0.33706376
-0.030733485,0.42394525
0.8078679,0.37477684
0.05953567,0.41705823
0.23410547,0.42881593
0.13370472,0.46864116
1.608701,0.38997018
0.78322047,0.37229374
1.0576957,0.44923887
1.8321906,0.2790795
0.8311582,0.32748917
1.0012294,0.307789
0.39613047,0.42023766
0.9039317,0.3817741
0.7808817,0.3353912
1.426596,0.3316549
0.17480525,0.38977763
0.24468787,0.38760072
1.3615136,0.3921405
-0.051221,0.39668033
0.87792426,0.3740045
0.94177103,0.46227866
1.5763524,0.32015637
0.53158677,0.42337725
0.7217163,0.37586725
0.50455683,0.39144987
0.8125006,0.42222148
1.5902419,0.33094025
1.1844444,0.38081935
1.3520184,0.49008578
1.2576528,0.35205618
0.6587263,0.34452644
0.5816922,0.43637848
0.41845986,0.40342337
1.0597482,0.34861714
1.5628422,0.3480341
0.9098596,0.33137247
1.6873794,0.32656026
0.36496338,0.4608454
0.6385248,0.34775078
1.3104975,0.34548026
1.2465847,0.32116488
0.5672653,0.38407013
1.629872,0.36180636
0.7029772,0.39235058
1.4875351,0.35684568
2.0580635,0.3137629
1.523854,0.34401202
0.58203727,0.3364155
-0.007211594,0.36468425
0.2795705,0.40787834
0.80052453,0.41240194
0.59356385,0.42429504
1.0356346,0.36656725
1.117823,0.30364838
0.78044283,0.33845758
0.9917624,0.3748192
1.2500205,0.42377093
0.82326317,0.36329907
0.2741055,0.36750633
1.101144,0.3050266
0.5233519,0.44435894
1.0268254,0.35333624
0.34445557,0.40231457
1.1436362,0.38717625
0.6665291,0.33250558
0.6017366,0.32526487
0.75856334,0.37992746
0.87096554,0.38194382
1.220146,0.2976577
1.0183295,0.30668518
0.76944417,0.38239288
0.79474837,0.34723556
1.819557,0.36042917
-0.33469293,0.4437713
1.4882507,0.31633875
1.2007077,0.31855488
1.2171427,0.44712362
1.569485,0.3919143
0.9376879,0.3368902
0.8777967,0.3907125
0.8865499,0.38687626
0.5812361,0.3716352
0.87801623,0.336584
1.1414574,0.34480622
1.2822919,0.30999804
1.0316995,0.39016655
1.338317,0.31702685
1.5489652,0.31264225
0.81564933,0.39452317
1.1656008,0.35642263
1.3754313,0.362709
1.0501595,0.3571967
0.7914401,0.37033504
0.84911954,0.41464135
0.00031551562,0.4223866
0.6721199,0.32726347
1.0898099,0.3546871
0.78813875,0.44251832
1.0548202,0.45009285
1.0384742,0.44906157
1.393017,0.36164
1.4393615,0.3808145
1.05314,0.34514102
0.40165463,0.39813006
0.8347799,0.31425288
1.1517903,0.42793176
0.7875967,0.4541827
0.903347,0.3518046
0.7566378,0.3283926
0.53675175,0.37377256
0.76094824,0.3665835
1.2785094,0.31562376
1.4199293,0.4405983
0.5193559,0.3486038
0.3189609,0.39615586
0.32252863,0.35842156
1.5084202,0.33305657
1.7675773,0.329146
1.2417035,0.32699102
0.9854011,0.3580001
0.5490939,0.37777895
2.0277028,0.31754115
1.1711195,0.39591128
0.38560238,0.3762507
0.62959164,0.37018812
0.7159835,0.3615793
0.55172974,0.3933127
0.018881828,0.433109
1.1578739,0.32019123
1.2082533,0.36599687
1.0545223,0.32084462
1.0224801,0.38086838
1.4332752,0.32608223
1.4723305,0.31807604
0.40156573,0.42923525
0.96534485,0.35172912
0.75916487,0.3854156
0.66240925,0.43605527
0.10154467,0.3726273
0.3095378,0.31027988
0.5527754,0.40359375
0.47665885,0.33395794
1.5143816,0.30951345
0.8886531,0.40232742
1.3886256,0.28926417
1.275189,0.40063858
0.70984316,0.4093265
0.25603265,0.39169437
1.0432488,0.37008256
0.31857604,0.34973338
0.6176226,0.36987862
0.5099689,0.4101164
1.0444638,0.34481716
0.8180196,0.37699515
0.34267095,0.44167745
0.1711335,0.3501936
1.5833405,0.33367828
0.77112633,0.36328238
1.0296602,0.4001715
0.6706735,0.31885478
0.82204133,0.38228607
1.0380602,0.41490975
0.2692913,0.44369644
1.3345946,0.31959775
0.47900325,0.43147984
0.80405176,0.42366287
0.54811203,0.3776122
0.2217858,0.4118793
0.7968694,0.39210287
0.43200144,0.37917474
0.13961913,0.5048136
0.9355339,0.35720968
2.3831224,0.358407
0.52334917,0.33334768
0.59251493,0.36575338
0.6724856,0.45255774
0.45233506,0.40174097
1.3315457,0.33273688
1.5189365,0.3234066
0.7954956,0.34200573
1.5866257,0.3144996
0.79599124,0.28625837
0.22236884,0.33952156
0.7230994,0.36269945
1.2130498,0.38799495
1.0093461,0.37040138
1.2501856,0.398332
0.730222,0.3542227
0.404127,0.38329193
0.48585275,0.40313962
-0.20842728,0.45225403
0.97733563,0.42259982
1.1801363,0.31901544
1.4053285,0.3520279
1.1380036,0.35204774
0.65908414,0.38384056
0.041716423,0.4203465
1.7313607,0.36750183
0.6662165,0.39048582
1.1312355,0.3482336
1.9221667,0.31842163
0.8813086,0.33406356
0.52476245,0.39724687
1.0783685,0.47394592
1.4644929,0.30859813
