A,B
1.6796254,2.9772074
1.6567608,2.9384332
1.6743637,2.9290957
1.6738499,2.9407487
1.6717969,2.8964548
1.6833286,2.948249
1.6772834,3.0169258
1.6675534,2.9365718
1.6795443,2.956272
1.6821209,2.948439
1.6840888,3.0055478
1.6718186,2.95695
1.6784853,2.9718854
1.6708326,2.95528
1.6703618,2.95847
1.6749189,2.94696
1.675791,2.9277086
1.6817718,2.943365
1.6848608,2.9892683
1.6803138,2.9304645
1.6833557,3.0049772
1.6673865,2.9119182
1.6813508,2.971628
1.6709962,2.9484756
1.668887,2.9100292
1.68109,2.9694934
1.6731224,2.9449232
1.6697648,2.9624002
1.6699189,2.9791582
1.6827825,2.9542964
1.682929,2.975895
1.6623939,2.9631388
1.663756,2.933145
1.6580949,2.8914015
1.6820073,2.978901
1.6744766,2.9277177
1.6732209,2.916891
1.6797906,2.9266725
1.6690351,2.954278
1.6500957,2.9359775
1.6684338,2.8937352
1.6648724,2.9414525
1.66313,2.9200954
1.6708379,2.9678497
1.6773827,2.9279928
1.6655245,2.8957784
1.6700398,2.9478815
1.6781965,2.9315488
1.6696926,2.966058
1.6742413,2.93738
1.6679193,2.9087372
1.6707553,2.9178784
1.6862797,2.9619622
1.6670839,2.940361
1.6706834,2.9266274
1.6727691,2.959773
1.6664224,2.9611814
1.6699479,2.9343543
1.6735014,2.9432435
1.6701245,2.9480162
1.6613032,2.9104686
1.6656865,2.9417343
1.6619626,2.9044306
1.6753587,3.005262
1.6582465,2.9286003
1.6738209,2.9750183
1.6599605,2.988965
1.6845951,2.969877
1.6587076,2.9694958
1.6739013,2.9267738
1.6702002,2.9710364
1.6840018,2.94153
1.6643347,2.9457467
1.6627276,2.9556243
1.6681504,2.9696145
1.6662854,2.952133
1.6705271,2.9393094
1.6837622,2.9696987
1.6745347,2.9760487
1.6727537,2.9670475
1.6431813,2.8941803
1.6723651,2.96033
1.6800007,2.9911537
1.6856546,2.9650705
1.6677217,2.9064782
1.683434,2.9948747
1.6730144,2.958778
1.6744514,2.9410524
1.6742948,2.9891355
1.6666318,2.9277065
1.6600797,2.9448304
1.6608235,2.920653
1.6749786,2.948682
1.6708757,2.921982
1.6688325,2.9474487
1.6724561,2.9714007
1.6747324,2.9732492
1.6513422,2.9685054
1.6662443,2.9135206
1.6736214,2.908955
1.672789,2.9523358
1.6718081,2.9662414
1.6681696,2.9177668
1.6752512,2.9522183
1.6622308,2.950556
1.6641935,2.9568102
1.6678019,2.9850044
1.6690875,2.946743
1.677979,2.9816368
1.6639398,2.9375963
1.687924,3.0053627
1.664789,2.9015627
1.6764902,2.957494
1.6595019,2.94998
1.6707712,2.956662
1.6856349,2.9578874
1.664912,2.9697278
1.6531512,2.9456122
1.6653706,2.9798918
1.6659932,2.946295
1.6664714,2.9823303
1.6792786,2.9785616
1.6763293,2.9678245
1.6720296,2.879437
1.6535426,2.9456613
1.6889552,2.950075
1.6816164,2.923581
1.662118,2.923176
1.6826695,2.9702592
1.6755024,2.9502723
1.6632316,2.9198613
1.6713008,2.962926
1.6790563,2.9573886
1.677991,2.9350812
1.6657708,2.9639368
1.6705403,2.9460676
1.6805705,2.9890912
1.681076,2.990724
1.6760026,2.9666505
1.6806324,2.9188097
1.6673703,2.9398422
1.6798981,2.936092
1.6690881,2.928384
1.677211,2.933341
1.6703267,2.9501925
1.6698321,2.9562879
1.6709107,2.968229
1.6787963,2.9391224
1.6894166,3.0008242
1.6800402,2.969858
1.6789577,2.9873996
1.6644028,2.899818
1.6770903,2.9598858
1.6733077,2.957398
1.6505545,2.8963454
1.6766053,3.0104241
1.671876,2.9436114
1.6728294,2.9072778
1.6835593,2.993251
1.6801835,2.9441905
1.6771747,2.9331546
1.6851372,2.972949
1.675299,2.9449687
1.6761538,2.9502811
1.6771904,2.960123
1.6796674,2.9842205
1.6641121,2.9072587
1.6889509,2.9661865
1.675444,2.9598172
1.6619998,2.951984
