dq,naive
1.5868398,0.3139888
1.1978482,0.3268777
0.1960225,0.3441322
0.38423842,0.31247124
0.46789038,0.29624605
1.161444,0.31770834
1.0385177,0.33278304
0.60785204,0.32288384
1.2152845,0.31650037
1.3718631,0.29153177
2.9388525,0.29111367
0.4641559,0.3179368
0.6300106,0.32614625
1.883543,0.3318895
-0.29204354,0.30764493
1.4803097,0.31668088
0.5336835,0.31319633
1.288165,0.30410764
0.5356656,0.30201614
0.5734311,0.29131666
0.98893046,0.324921
0.35040212,0.32417524
0.8635449,0.3440267
0.00071265624,0.34808394
0.9354937,0.3167375
0.5249647,0.3382917
1.3805817,0.3237267
0.8920105,0.31626812
0.588136,0.31799704
1.2181497,0.32567883
1.4886212,0.33382374
0.6605689,0.32552916
1.1300776,0.3273736
0.8898621,0.30332595
1.3047073,0.30531174
1.1735289,0.33042523
-0.004651734,0.34289864
0.5297139,0.33599156
0.62153625,0.3381423
0.69649786,0.30615866
-0.30757862,0.34354252
0.67539155,0.318175
1.2823362,0.31774816
-0.6914348,0.33191314
0.18473916,0.31516477
0.811924,0.34139624
1.164389,0.2832547
0.98887944,0.32580537
0.5220773,0.3256961
0.6493933,0.33584207
0.91372687,0.34045956
1.7895901,0.3244984
0.5061437,0.3221812
1.8162397,0.29373562
-0.07247164,0.30710268
0.52287745,0.32864413
1.2648507,0.33317593
1.0002676,0.3525556
1.1015431,0.3074359
0.4626499,0.32077712
1.6270357,0.3275819
1.5357523,0.28535375
1.6958243,0.33232963
1.3300384,0.28837165
0.56835485,0.34121838
1.2304535,0.316622
0.6174793,0.34213257
1.5513983,0.32958624
1.1210853,0.30406585
1.2304765,0.28496742
1.0717577,0.2947251
0.3596805,0.3172014
-0.65635574,0.33042395
1.811429,0.27962655
1.3535527,0.33298007
0.021199,0.31484526
0.99145186,0.34267458
0.47742924,0.31578082
1.0232785,0.31840396
0.25784284,0.34106615
0.48648456,0.2888345
1.3521502,0.32801563
0.9286687,0.29837194
0.5081937,0.3196989
1.2691853,0.3145322
0.97585475,0.28756705
0.5801316,0.30788755
0.9249139,0.33231157
0.53640574,0.32471392
1.0639634,0.2962294
0.90171635,0.3103176
0.2452869,0.32999793
0.5607374,0.32422107
1.2298696,0.30565536
0.31867337,0.30679372
0.71010196,0.31007865
0.9059674,0.2875532
0.6693037,0.30073747
0.34780863,0.32992944
1.6120508,0.31689206
0.9137699,0.31262368
0.7164663,0.35002005
0.17396443,0.32990894
0.9695888,0.31443682
1.3151855,0.30965975
0.31230715,0.31391293
0.5181948,0.32547218
0.55210537,0.33203018
1.2124387,0.31983092
0.6063869,0.32931584
0.7255087,0.31635603
0.55028427,0.30947447
1.0869093,0.31211707
1.0718161,0.3157281
-0.24213068,0.30002004
0.79553527,0.32708168
0.7460113,0.2947853
0.92433476,0.31942925
1.1711757,0.31474587
1.4453398,0.29982844
0.70088995,0.3073543
1.3555952,0.32149208
0.8235361,0.3119656
0.46557975,0.34677637
1.5255969,0.31930313
0.5290476,0.32294887
1.7310716,0.3178237
1.0618184,0.30204237
1.7700937,0.3336805
2.0534072,0.3278536
1.255112,0.31917965
1.1122245,0.33382592
-0.107729435,0.3077141
0.23840384,0.29854098
1.0128993,0.28341502
0.9880972,0.31065226
1.058644,0.3126948
0.10481084,0.31763056
-0.059619937,0.32424533
0.39625514,0.32688144
0.81451267,0.34954694
1.3309157,0.32436422
1.8896388,0.32283634
0.6940191,0.3273498
0.68961644,0.30249918
1.8183743,0.27656928
1.9672984,0.29212293
0.8734891,0.29635486
1.0327976,0.29026574
0.6691124,0.32039762
0.7387664,0.30103546
0.51591414,0.316326
1.4814492,0.32765093
0.31306577,0.3210185
1.1249886,0.28800505
1.0010449,0.29776168
1.3329736,0.33101615
1.2742175,0.34509525
0.30331492,0.34855944
0.7157909,0.306111
-0.3542713,0.3309699
-0.45502663,0.288174
0.1666384,0.30743757
0.7238327,0.31886432
1.1366155,0.3527822
1.4610157,0.32309607
1.1419894,0.29887784
0.50354403,0.3005245
0.7675422,0.3165598
1.1483343,0.35175592
0.67853415,0.32177493
1.1318703,0.28071785
1.3856512,0.31976026
1.434751,0.321096
0.94218916,0.343551
1.4664804,0.29145655
0.08502925,0.34826145
1.693786,0.31272104
-0.037645593,0.31913832
0.7458013,0.31038544
1.2414267,0.29134992
1.0737151,0.32947257
0.6029525,0.33754903
1.6836962,0.33607283
0.0008791562,0.32341743
1.2845814,0.3382549
0.72773075,0.34041616
0.8677821,0.2949525
1.541144,0.30502057
0.18547313,0.33637106
0.11304145,0.29804996
0.15771638,0.314612
0.5328962,0.3015286
0.16002178,0.3227735
-0.6486524,0.3049245
-0.01780725,0.36678502
0.4584227,0.33991838
0.010705984,0.32620788
0.30996707,0.32642382
0.67910564,0.34698978
1.3471419,0.318262
0.42856586,0.31176224
0.9288117,0.3015997
0.4014318,0.34589294
-0.0025625,0.31339008
-0.23769066,0.31816545
0.66727704,0.3360118
0.5553814,0.31252605
-0.7581353,0.3178072
0.05260947,0.355302
0.82820296,0.33988082
1.0834532,0.30702206
1.985202,0.28920975
0.78803027,0.3061285
1.5708905,0.30438748
0.39983556,0.3188622
0.7901026,0.33552507
0.8692125,0.3302677
-0.39158216,0.3661195
0.29654998,0.33245417
1.1513567,0.31870726
0.40206316,0.2947945
0.9309357,0.29899454
0.4330566,0.308174
1.8481172,0.3009409
1.3862882,0.3223812
0.5229036,0.31293738
1.0826173,0.32992923
1.1488857,0.31142142
1.3715827,0.31727573
0.5269915,0.30983105
1.36491,0.3284025
1.1896323,0.3018412
0.5182885,0.32124016
0.8283217,0.29540983
0.9072008,0.31786942
0.6541386,0.29457188
1.511988,0.29309064
0.94628423,0.33321893
1.8245536,0.2758729
1.0515771,0.30024663
0.95623344,0.32802972
0.879509,0.32448113
0.27270353,0.36070627
1.4909858,0.32905918
1.1509588,0.2976535
1.9056777,0.2979839
0.6181156,0.33738506
1.028056,0.30543566
0.7721588,0.33784735
0.583165,0.3058333
1.177169,0.2938339
1.5492115,0.3155828
1.8125377,0.30342838
0.657351,0.31586945
2.030499,0.3073383
1.5355074,0.3087236
0.30900097,0.30626357
1.4347417,0.324256
0.19962682,0.3253114
1.057119,0.3221387
0.837022,0.31821507
0.7869883,0.33751857
1.0251424,0.311298
0.1874535,0.33715618
0.5810444,0.32639033
-0.26332834,0.33811134
1.1999837,0.31061003
0.64256024,0.29487586
1.0031976,0.31471494
0.7888989,0.30618137
0.68287,0.331296
-0.9384215,0.35304412
0.1695225,0.34709695
1.4717965,0.30751544
1.2016815,0.30938026
2.0952108,0.28755468
0.5009653,0.32753378
-0.2473413,0.3370436
1.3364488,0.33965674
1.1600647,0.28150198
