dq,naive
1.6735084,0.35487795
1.3541193,0.386021
-0.005140625,0.40177402
0.72099525,0.32753143
0.9574884,0.30443507
0.8625075,0.3750615
1.2089775,0.36109874
1.4313881,0.32626832
0.5065525,0.40806726
1.3542875,0.31171075
1.4230216,0.30665964
1.8251982,0.3321621
1.6275446,0.31221732
1.3960676,0.34790805
1.8744237,0.33073506
0.7355363,0.379709
0.09946619,0.3950697
0.017248696,0.37655425
1.1426505,0.38950512
0.70169103,0.31680775
1.0243006,0.3260975
0.47592747,0.33738786
1.182216,0.3127676
1.1183544,0.35724762
0.70762324,0.358022
0.8093775,0.3470388
0.082029514,0.390685
0.45703405,0.37541237
1.344958,0.334208
0.72699213,0.38242906
1.0551008,0.32391813
1.122876,0.3410183
1.7175047,0.33761257
0.52569765,0.38814753
1.0591923,0.379696
0.5186278,0.3896844
0.7460184,0.38323388
0.8613991,0.390759
1.3390588,0.33551243
0.87525713,0.34670654
1.0680887,0.38097107
0.961899,0.3531113
0.8543765,0.35328138
1.2777762,0.2839427
1.1316272,0.36149353
0.8367032,0.35609242
0.836816,0.3399375
1.0927956,0.38600156
0.506634,0.3942203
1.1392647,0.26773912
0.91021985,0.3871813
1.1116712,0.32612282
1.1342807,0.37422115
1.2932923,0.3109487
1.2611064,0.3121929
-0.076002754,0.3547748
0.9171967,0.38414824
0.4217277,0.34376088
1.1725782,0.33868587
0.79450494,0.36415315
1.1142955,0.28781533
0.5884147,0.403122
1.4297202,0.34005064
0.6639389,0.36720273
2.208809,0.2898303
0.86043626,0.3846018
0.907697,0.35537082
1.0124059,0.37221783
-0.061292686,0.35980913
1.7309229,0.29993
1.044344,0.31694418
1.351859,0.33868986
0.2059806,0.35285217
1.1906788,0.28050599
1.0339528,0.3766789
0.76949817,0.3564311
-0.087392576,0.3903105
1.0842478,0.36912888
0.75477976,0.3416129
0.49657685,0.38374627
0.2653727,0.36539593
0.94057405,0.3446225
1.7421069,0.32849145
0.17056933,0.34332967
0.8425921,0.387829
1.017073,0.34348428
0.6491091,0.38919634
1.4638193,0.32033625
0.20350696,0.40114534
0.4329749,0.34847438
1.480597,0.35559562
1.2198877,0.32595116
0.89369607,0.34571034
1.200303,0.37519145
1.8785524,0.31783512
1.0553279,0.3648979
